;query;query_ru
2625;"SELECT decor , count(*) FROM Rooms WHERE basePrice  >  120 GROUP BY decor;";"ВЫБРАТЬ декор , КОЛИЧЕСТВО(*) ИЗ справочник.номера ГДЕ базоваяцена > 120 СГРУППИРОВАТЬ ПО декор;"
2626;"SELECT bedType ,  avg(basePrice) FROM Rooms GROUP BY bedType;";"ВЫБРАТЬ типкровати , СРЕДНЕЕ(базоваяцена) ИЗ справочник.номера СГРУППИРОВАТЬ ПО типкровати;"
2627;"SELECT bedType ,  avg(basePrice) FROM Rooms GROUP BY bedType;";"ВЫБРАТЬ типкровати , СРЕДНЕЕ(базоваяцена) ИЗ справочник.номера СГРУППИРОВАТЬ ПО типкровати;"
2628;"SELECT roomName FROM Rooms WHERE bedType  =  ""King"" OR bedType  =  ""Queen"";";"ВЫБРАТЬ наименование ИЗ справочник.номера ГДЕ типкровати = ""King"" ИЛИ типкровати = ""Queen"";"
2629;"SELECT roomName FROM Rooms WHERE bedType  =  ""King"" OR bedType  =  ""Queen"";";"ВЫБРАТЬ наименование ИЗ справочник.номера ГДЕ типкровати = ""King"" ИЛИ типкровати = ""Queen"";"
2630;"SELECT count(DISTINCT bedType) FROM Rooms;";"ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ типкровати) ИЗ справочник.номера;"
2631;"SELECT count(DISTINCT bedType) FROM Rooms;";"ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ типкровати) ИЗ справочник.номера;"
2632;"SELECT RoomId ,  roomName FROM Rooms ORDER BY basePrice DESC LIMIT 3;";"ВЫБРАТЬ ссылка , наименование ИЗ справочник.номера УПОРЯДОЧИТЬ ПО базоваяцена УБЫВ LIMIT 3;"
2633;"SELECT RoomId ,  roomName FROM Rooms ORDER BY basePrice DESC LIMIT 3;";"ВЫБРАТЬ ссылка , наименование ИЗ справочник.номера УПОРЯДОЧИТЬ ПО базоваяцена УБЫВ LIMIT 3;"
2634;"SELECT roomName FROM Rooms WHERE basePrice  >  ( SELECT avg(basePrice) FROM Rooms );";"ВЫБРАТЬ roomName ИЗ справочник.номера ГДЕ basePrice > ( ВЫБРАТЬ СРЕДНЕЕ(basePrice) ИЗ справочник.номера );"
2635;"SELECT roomName FROM Rooms WHERE basePrice  >  ( SELECT avg(basePrice) FROM Rooms );";"ВЫБРАТЬ roomName ИЗ справочник.номера ГДЕ basePrice > ( ВЫБРАТЬ СРЕДНЕЕ(basePrice) ИЗ справочник.номера );"
2636;SELECT count(*) FROM rooms WHERE roomid NOT IN (SELECT DISTINCT room FROM reservations);ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.номера ГДЕ roomid НЕ В (ВЫБРАТЬ РАЗЛИЧНЫЕ room ИЗ регистрсведений.бронирование)
2637;SELECT count(*) FROM rooms WHERE roomid NOT IN (SELECT DISTINCT room FROM reservations);ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.номера ГДЕ roomid НЕ В (ВЫБРАТЬ РАЗЛИЧНЫЕ room ИЗ регистрсведений.бронирование)
2638;SELECT T2.roomName ,  count(*) ,  T1.Room FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId GROUP BY T1.Room;ВЫБРАТЬ T2.наименование , КОЛИЧЕСТВО(*) , T1.номер ИЗ регистрсведений.бронирование КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.номера КАК T2 ПО T1.номер = T2.ссылка СГРУППИРОВАТЬ ПО T1.номер
2639;SELECT T2.roomName ,  count(*) ,  T1.Room FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId GROUP BY T1.Room;ВЫБРАТЬ T2.наименование , КОЛИЧЕСТВО(*) , T1.номер ИЗ регистрсведений.бронирование КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.номера КАК T2 ПО T1.номер = T2.ссылка СГРУППИРОВАТЬ ПО T1.номер
2640;SELECT T2.roomName FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId GROUP BY T1.Room HAVING count(*)  >  60;ВЫБРАТЬ T2.наименование ИЗ регистрсведений.бронирование КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.номера КАК T2 ПО T1.номер = T2.ссылка СГРУППИРОВАТЬ ПО T1.номер ИМЕЮЩИЕ КОЛИЧЕСТВО(*) > 60
2641;SELECT T2.roomName FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId GROUP BY T1.Room HAVING count(*)  >  60;ВЫБРАТЬ T2.наименование ИЗ регистрсведений.бронирование КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.номера КАК T2 ПО T1.номер = T2.ссылка СГРУППИРОВАТЬ ПО T1.номер ИМЕЮЩИЕ КОЛИЧЕСТВО(*) > 60
2642;SELECT roomname FROM rooms WHERE baseprice BETWEEN 120 AND 150;ВЫБРАТЬ наименование ИЗ справочник.номера ГДЕ базоваяцена МЕЖДУ 120 И 150
2643;SELECT roomname FROM rooms WHERE baseprice BETWEEN 120 AND 150;ВЫБРАТЬ наименование ИЗ справочник.номера ГДЕ базоваяцена МЕЖДУ 120 И 150
2644;SELECT T2.roomName FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId WHERE firstname LIKE '%ROY%';"ВЫБРАТЬ T2.наименование ИЗ регистрсведений.бронирование КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.номера КАК T2 ПО T1.номер = T2.ссылка ГДЕ firstname ПОДОБНО ""%ROY%"""
2645;SELECT T2.roomName FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId WHERE firstname LIKE '%ROY%';"ВЫБРАТЬ T2.наименование ИЗ регистрсведений.бронирование КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.номера КАК T2 ПО T1.номер = T2.ссылка ГДЕ firstname ПОДОБНО ""%ROY%"""
2646;SELECT T1.cmi_details FROM Customer_Master_Index AS T1 JOIN CMI_Cross_References AS T2 ON T1.master_customer_id  =  T2.master_customer_id WHERE T2.source_system_code  =  'Tax';"ВЫБРАТЬ T1.описание ИЗ справочник.клиенты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.кроссссылкикми КАК T2 ПО T1.ссылка = T2.клиент ГДЕ T2.кодсистемыисточник = ""Tax"""
2647;SELECT T1.cmi_cross_ref_id ,  T1.source_system_code FROM CMI_Cross_References AS T1 JOIN Council_Tax AS T2 ON T1.cmi_cross_ref_id  =  T2.cmi_cross_ref_id GROUP BY T1.cmi_cross_ref_id HAVING count(*)  >=  1;ВЫБРАТЬ T1.ссылка , T1.кодсистемыисточник ИЗ справочник.кроссссылкикми КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.налогнанедвижимость КАК T2 ПО T1.ссылка = T2.кроссссылкакми СГРУППИРОВАТЬ ПО T1.ссылка ИМЕЮЩИЕ КОЛИЧЕСТВО(*) >= 1
2648;SELECT T2.cmi_cross_ref_id ,  T2.master_customer_id ,  count(*) FROM Business_Rates AS T1 JOIN CMI_Cross_References AS T2 ON T1.cmi_cross_ref_id  =  T2.cmi_cross_ref_id GROUP BY T2.cmi_cross_ref_id;ВЫБРАТЬ T2.ссылка , T2.клиент , КОЛИЧЕСТВО(*) ИЗ регистрсведений.налогнабизнес КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.кроссссылкикми КАК T2 ПО T1.кроссссылкакми = T2.ссылка СГРУППИРОВАТЬ ПО T2.ссылка
2649;SELECT T1.source_system_code ,  T2.council_tax_id FROM CMI_Cross_References AS T1 JOIN Benefits_Overpayments AS T2 ON T1.cmi_cross_ref_id  =  T2.cmi_cross_ref_id ORDER BY T2.council_tax_id;ВЫБРАТЬ T1.кодсистемыисточник , T2.налогнанедвижимость ИЗ справочник.кроссссылкикми КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.переплатыпопособиям КАК T2 ПО T1.ссылка = T2.кроссссылкакми УПОРЯДОЧИТЬ ПО T2.налогнанедвижимость
2650;SELECT T1.source_system_code ,  T1.master_customer_id ,  T2.council_tax_id FROM CMI_Cross_References AS T1 JOIN Parking_Fines AS T2 ON T1.cmi_cross_ref_id  =  T2.cmi_cross_ref_id;ВЫБРАТЬ T1.кодсистемыисточник , T1.клиент , T2.налогнанедвижимость ИЗ справочник.кроссссылкикми КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.штрафызапарковку КАК T2 ПО T1.ссылка = T2.кроссссылкакми
2651;SELECT T1.council_tax_id FROM Rent_Arrears AS T1 JOIN CMI_Cross_References AS T2 ON T1.cmi_cross_ref_id  =  T2.cmi_cross_ref_id JOIN Customer_Master_Index AS T3 ON T3.master_customer_id  =  T2.master_customer_id WHERE T3.cmi_details != 'Schmidt ,  Kertzmann and Lubowitz';"ВЫБРАТЬ T1.налогнанедвижимость ИЗ регистрсведений.долгипоаренде КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.кроссссылкикми КАК T2 ПО T1.кроссссылкакми = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.клиенты КАК T3 ПО T3.ссылка = T2.клиент ГДЕ T3.описание <> ""Schmidt , Kertzmann and Lubowitz"""
2652;SELECT T1.electoral_register_id FROM Electoral_Register AS T1 JOIN CMI_Cross_References AS T2 ON T1.cmi_cross_ref_id  =  T2.cmi_cross_ref_id WHERE T2.source_system_code  =  'Electoral' OR T2.source_system_code  =  'Tax';"ВЫБРАТЬ T1.ссылка ИЗ регистрсведений.избирательныйрегистр КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.кроссссылкикми КАК T2 ПО T1.кроссссылкакми = T2.ссылка ГДЕ T2.кодсистемыисточник = ""Electoral"" ИЛИ T2.кодсистемыисточник = ""Tax"""
2653;SELECT count(DISTINCT source_system_code) FROM CMI_cross_references;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ кодсистемыисточник) ИЗ справочник.кроссссылкикми
2654;SELECT * FROM customer_master_index ORDER BY cmi_details DESC;ВЫБРАТЬ * ИЗ справочник.клиенты УПОРЯДОЧИТЬ ПО описание УБЫВ
2655;SELECT council_tax_id ,  cmi_cross_ref_id FROM parking_fines;ВЫБРАТЬ налогнанедвижимость , кроссссылкакми ИЗ регистрсведений.штрафызапарковку
2656;SELECT count(*) FROM rent_arrears;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ регистрсведений.долгипоаренде
2657;SELECT DISTINCT T2.source_system_code FROM customer_master_index AS T1 JOIN cmi_cross_references AS T2 ON T1.master_customer_id  =  T2.master_customer_id WHERE T1.cmi_details  =  'Gottlieb ,  Becker and Wyman';"ВЫБРАТЬ РАЗЛИЧНЫЕ T2.кодсистемыисточник ИЗ справочник.клиенты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.кроссссылкикми КАК T2 ПО T1.ссылка = T2.клиент ГДЕ T1.описание = ""Gottlieb , Becker and Wyman"""
2659;SELECT DISTINCT source_system_code FROM cmi_cross_references WHERE source_system_code LIKE '%en%';"ВЫБРАТЬ РАЗЛИЧНЫЕ кодсистемыисточник ИЗ справочник.кроссссылкикми ГДЕ кодсистемыисточник ПОДОБНО ""%en%"""
2660;SELECT count(*) FROM party;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.вечеринки
2661;SELECT count(*) FROM party;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.вечеринки
2662;SELECT Party_Theme FROM party ORDER BY Number_of_hosts ASC;ВЫБРАТЬ тема ИЗ справочник.вечеринки УПОРЯДОЧИТЬ ПО количествоорганизаторов ВОЗР
2663;SELECT Party_Theme FROM party ORDER BY Number_of_hosts ASC;ВЫБРАТЬ тема ИЗ справочник.вечеринки УПОРЯДОЧИТЬ ПО количествоорганизаторов ВОЗР
2664;SELECT Party_Theme ,  LOCATION FROM party;ВЫБРАТЬ тема , местопроведения ИЗ справочник.вечеринки
2665;SELECT Party_Theme ,  LOCATION FROM party;ВЫБРАТЬ тема , местопроведения ИЗ справочник.вечеринки
2666;"SELECT First_year ,  Last_year FROM party WHERE Party_Theme  =  ""Spring"" OR Party_Theme  =  ""Teqnology""";"ВЫБРАТЬ первыйгод , последнийгод ИЗ справочник.вечеринки ГДЕ тема = ""Spring"" ИЛИ тема = ""Teqnology"""
2667;"SELECT First_year ,  Last_year FROM party WHERE Party_Theme  =  ""Spring"" OR Party_Theme  =  ""Teqnology""";"ВЫБРАТЬ первыйгод , последнийгод ИЗ справочник.вечеринки ГДЕ тема = ""Spring"" ИЛИ тема = ""Teqnology"""
2668;SELECT avg(Number_of_hosts) FROM party;ВЫБРАТЬ СРЕДНЕЕ(количествоорганизаторов) ИЗ справочник.вечеринки
2669;SELECT avg(Number_of_hosts) FROM party;ВЫБРАТЬ СРЕДНЕЕ(количествоорганизаторов) ИЗ справочник.вечеринки
2670;SELECT LOCATION FROM party ORDER BY Number_of_hosts DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 местопроведения ИЗ справочник.вечеринки УПОРЯДОЧИТЬ ПО количествоорганизаторов УБЫВ
2671;SELECT LOCATION FROM party ORDER BY Number_of_hosts DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 местопроведения ИЗ справочник.вечеринки УПОРЯДОЧИТЬ ПО количествоорганизаторов УБЫВ
2672;SELECT Nationality ,  COUNT(*) FROM HOST GROUP BY Nationality;ВЫБРАТЬ национальность , КОЛИЧЕСТВО(*) ИЗ справочник.организаторы СГРУППИРОВАТЬ ПО национальность
2673;SELECT Nationality ,  COUNT(*) FROM HOST GROUP BY Nationality;ВЫБРАТЬ национальность , КОЛИЧЕСТВО(*) ИЗ справочник.организаторы СГРУППИРОВАТЬ ПО национальность
2674;SELECT Nationality FROM HOST GROUP BY Nationality ORDER BY COUNT(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 национальность ИЗ справочник.организаторы СГРУППИРОВАТЬ ПО национальность УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
2675;SELECT Nationality FROM HOST GROUP BY Nationality ORDER BY COUNT(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 национальность ИЗ справочник.организаторы СГРУППИРОВАТЬ ПО национальность УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
2678;SELECT T3.Party_Theme ,  T2.Name FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID;ВЫБРАТЬ T3.тема , T2.наименование ИЗ регистрсведений.организаторывечеринок КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.организаторы КАК T2 ПО T1.организатор = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.вечеринки КАК T3 ПО T1.вечеринка = T3.ссылка
2679;SELECT T3.Party_Theme ,  T2.Name FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID;ВЫБРАТЬ T3.тема , T2.наименование ИЗ регистрсведений.организаторывечеринок КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.организаторы КАК T2 ПО T1.организатор = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.вечеринки КАК T3 ПО T1.вечеринка = T3.ссылка
2680;SELECT T3.Location ,  T2.Name FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID ORDER BY T2.Age;ВЫБРАТЬ T3.местопроведения , T2.наименование ИЗ регистрсведений.организаторывечеринок КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.организаторы КАК T2 ПО T1.организатор = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.вечеринки КАК T3 ПО T1.вечеринка = T3.ссылка УПОРЯДОЧИТЬ ПО T2.возраст
2681;SELECT T3.Location ,  T2.Name FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID ORDER BY T2.Age;ВЫБРАТЬ T3.местопроведения , T2.наименование ИЗ регистрсведений.организаторывечеринок КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.организаторы КАК T2 ПО T1.организатор = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.вечеринки КАК T3 ПО T1.вечеринка = T3.ссылка УПОРЯДОЧИТЬ ПО T2.возраст
2682;SELECT T3.Location FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID WHERE T2.Age  >  50;ВЫБРАТЬ T3.местопроведения ИЗ регистрсведений.организаторывечеринок КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.организаторы КАК T2 ПО T1.организатор = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.вечеринки КАК T3 ПО T1.вечеринка = T3.ссылка ГДЕ T2.возраст > 50
2683;SELECT T3.Location FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID WHERE T2.Age  >  50;ВЫБРАТЬ T3.местопроведения ИЗ регистрсведений.организаторывечеринок КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.организаторы КАК T2 ПО T1.организатор = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.вечеринки КАК T3 ПО T1.вечеринка = T3.ссылка ГДЕ T2.возраст > 50
2684;SELECT T2.Name FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID WHERE T3.Number_of_hosts  >  20;ВЫБРАТЬ T2.наименование ИЗ регистрсведений.организаторывечеринок КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.организаторы КАК T2 ПО T1.организатор = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.вечеринки КАК T3 ПО T1.вечеринка = T3.ссылка ГДЕ T3.количествоорганизаторов > 20
2685;SELECT T2.Name FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID WHERE T3.Number_of_hosts  >  20;ВЫБРАТЬ T2.наименование ИЗ регистрсведений.организаторывечеринок КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.организаторы КАК T2 ПО T1.организатор = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.вечеринки КАК T3 ПО T1.вечеринка = T3.ссылка ГДЕ T3.количествоорганизаторов > 20
2686;SELECT Name ,  Nationality FROM HOST ORDER BY Age DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 наименование , национальность ИЗ справочник.организаторы УПОРЯДОЧИТЬ ПО возраст УБЫВ
2687;SELECT Name ,  Nationality FROM HOST ORDER BY Age DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 наименование , национальность ИЗ справочник.организаторы УПОРЯДОЧИТЬ ПО возраст УБЫВ
2688;SELECT Name FROM HOST WHERE Host_ID NOT IN (SELECT Host_ID FROM party_host);ВЫБРАТЬ Name ИЗ справочник.организаторы ГДЕ Host_ID НЕ В (ВЫБРАТЬ Host_ID ИЗ регистрсведений.организаторывечеринок)
2689;SELECT Name FROM HOST WHERE Host_ID NOT IN (SELECT Host_ID FROM party_host);ВЫБРАТЬ Name ИЗ справочник.организаторы ГДЕ Host_ID НЕ В (ВЫБРАТЬ Host_ID ИЗ регистрсведений.организаторывечеринок)
2690;SELECT count(*) FROM region;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.регионы
2691;SELECT count(*) FROM region;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.регионы
2692;SELECT region_code ,  region_name FROM region ORDER BY region_code;ВЫБРАТЬ кодрегиона , наименование ИЗ справочник.регионы УПОРЯДОЧИТЬ ПО кодрегиона
2693;SELECT region_code ,  region_name FROM region ORDER BY region_code;ВЫБРАТЬ кодрегиона , наименование ИЗ справочник.регионы УПОРЯДОЧИТЬ ПО кодрегиона
2694;SELECT region_name FROM region ORDER BY region_name;ВЫБРАТЬ наименование ИЗ справочник.регионы УПОРЯДОЧИТЬ ПО наименование
2695;SELECT region_name FROM region ORDER BY region_name;ВЫБРАТЬ наименование ИЗ справочник.регионы УПОРЯДОЧИТЬ ПО наименование
2696;SELECT region_name FROM region WHERE region_name != 'Denmark';"ВЫБРАТЬ наименование ИЗ справочник.регионы ГДЕ наименование <> ""Denmark"""
2697;SELECT region_name FROM region WHERE region_name != 'Denmark';"ВЫБРАТЬ наименование ИЗ справочник.регионы ГДЕ наименование <> ""Denmark"""
2698;SELECT count(*) FROM storm WHERE Number_Deaths  >  0;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.штормы ГДЕ количествопогибших > 0
2699;SELECT count(*) FROM storm WHERE Number_Deaths  >  0;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.штормы ГДЕ количествопогибших > 0
2700;SELECT name ,  dates_active ,  number_deaths FROM storm WHERE number_deaths  >=  1;ВЫБРАТЬ наименование , периодактивности , количествопогибших ИЗ справочник.штормы ГДЕ количествопогибших >= 1
2701;SELECT name ,  dates_active ,  number_deaths FROM storm WHERE number_deaths  >=  1;ВЫБРАТЬ наименование , периодактивности , количествопогибших ИЗ справочник.штормы ГДЕ количествопогибших >= 1
2702;SELECT avg(damage_millions_USD) ,  max(damage_millions_USD) FROM storm WHERE max_speed  >  1000;ВЫБРАТЬ СРЕДНЕЕ(ущербвсшамлн) , МАКСИМУМ(ущербвсшамлн) ИЗ справочник.штормы ГДЕ максимальнаяскорость > 1000
2703;SELECT avg(damage_millions_USD) ,  max(damage_millions_USD) FROM storm WHERE max_speed  >  1000;ВЫБРАТЬ СРЕДНЕЕ(ущербвсшамлн) , МАКСИМУМ(ущербвсшамлн) ИЗ справочник.штормы ГДЕ максимальнаяскорость > 1000
2704;SELECT sum(number_deaths) ,  sum(damage_millions_USD) FROM storm WHERE max_speed  >  (SELECT avg(max_speed) FROM storm);ВЫБРАТЬ СУММА(number_deaths) , СУММА(damage_millions_USD) ИЗ справочник.штормы ГДЕ max_speed > (ВЫБРАТЬ СРЕДНЕЕ(max_speed) ИЗ справочник.штормы)
2705;SELECT sum(number_deaths) ,  sum(damage_millions_USD) FROM storm WHERE max_speed  >  (SELECT avg(max_speed) FROM storm);ВЫБРАТЬ СУММА(number_deaths) , СУММА(damage_millions_USD) ИЗ справочник.штормы ГДЕ max_speed > (ВЫБРАТЬ СРЕДНЕЕ(max_speed) ИЗ справочник.штормы)
2706;SELECT name ,  damage_millions_USD FROM storm ORDER BY max_speed DESC;ВЫБРАТЬ наименование , ущербвсшамлн ИЗ справочник.штормы УПОРЯДОЧИТЬ ПО максимальнаяскорость УБЫВ
2707;SELECT name ,  damage_millions_USD FROM storm ORDER BY max_speed DESC;ВЫБРАТЬ наименование , ущербвсшамлн ИЗ справочник.штормы УПОРЯДОЧИТЬ ПО максимальнаяскорость УБЫВ
2708;SELECT count(DISTINCT region_id) FROM affected_region;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ регион) ИЗ регистрсведений.пораженныерегионы
2709;SELECT count(DISTINCT region_id) FROM affected_region;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ регион) ИЗ регистрсведений.пораженныерегионы
2710;SELECT region_name FROM region WHERE region_id NOT IN (SELECT region_id FROM affected_region);ВЫБРАТЬ region_name ИЗ справочник.регионы ГДЕ region_id НЕ В (ВЫБРАТЬ region_id ИЗ регистрсведений.пораженныерегионы)
2711;SELECT region_name FROM region WHERE region_id NOT IN (SELECT region_id FROM affected_region);ВЫБРАТЬ region_name ИЗ справочник.регионы ГДЕ region_id НЕ В (ВЫБРАТЬ region_id ИЗ регистрсведений.пораженныерегионы)
2712;SELECT T1.region_name ,  count(*) FROM region AS T1 JOIN affected_region AS T2 ON T1.region_id = T2.region_id GROUP BY T1.region_id;ВЫБРАТЬ T1.наименование , КОЛИЧЕСТВО(*) ИЗ справочник.регионы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.пораженныерегионы КАК T2 ПО T1.ссылка = T2.регион СГРУППИРОВАТЬ ПО T1.ссылка
2713;SELECT T1.region_name ,  count(*) FROM region AS T1 JOIN affected_region AS T2 ON T1.region_id = T2.region_id GROUP BY T1.region_id;ВЫБРАТЬ T1.наименование , КОЛИЧЕСТВО(*) ИЗ справочник.регионы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.пораженныерегионы КАК T2 ПО T1.ссылка = T2.регион СГРУППИРОВАТЬ ПО T1.ссылка
2714;SELECT T1.name ,  count(*) FROM storm AS T1 JOIN affected_region AS T2 ON T1.storm_id  =  T2.storm_id GROUP BY T1.storm_id;ВЫБРАТЬ T1.наименование , КОЛИЧЕСТВО(*) ИЗ справочник.штормы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.пораженныерегионы КАК T2 ПО T1.ссылка = T2.шторм СГРУППИРОВАТЬ ПО T1.ссылка
2715;SELECT T1.name ,  count(*) FROM storm AS T1 JOIN affected_region AS T2 ON T1.storm_id  =  T2.storm_id GROUP BY T1.storm_id;ВЫБРАТЬ T1.наименование , КОЛИЧЕСТВО(*) ИЗ справочник.штормы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.пораженныерегионы КАК T2 ПО T1.ссылка = T2.шторм СГРУППИРОВАТЬ ПО T1.ссылка
2716;SELECT T1.name ,  T1.max_speed FROM storm AS T1 JOIN affected_region AS T2 ON T1.storm_id  =  T2.storm_id GROUP BY T1.storm_id ORDER BY count(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T1.наименование , T1.максимальнаяскорость ИЗ справочник.штормы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.пораженныерегионы КАК T2 ПО T1.ссылка = T2.шторм СГРУППИРОВАТЬ ПО T1.ссылка УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
2717;SELECT T1.name ,  T1.max_speed FROM storm AS T1 JOIN affected_region AS T2 ON T1.storm_id  =  T2.storm_id GROUP BY T1.storm_id ORDER BY count(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 T1.наименование , T1.максимальнаяскорость ИЗ справочник.штормы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.пораженныерегионы КАК T2 ПО T1.ссылка = T2.шторм СГРУППИРОВАТЬ ПО T1.ссылка УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
2718;SELECT name FROM storm WHERE storm_id NOT IN (SELECT storm_id FROM affected_region);ВЫБРАТЬ name ИЗ справочник.штормы ГДЕ storm_id НЕ В (ВЫБРАТЬ storm_id ИЗ регистрсведений.пораженныерегионы)
