db_id;schema
chinook_1;Справочник.Альбомы : Ссылка (Справочник.Альбомы) , Наименование (Строка) , Артист (Справочник.Артисты) | Справочник.Артисты : Ссылка (Справочник.Артисты) , Наименование (Строка) | Справочник.Клиенты : Ссылка (Справочник.Клиенты) , Имя (Строка) , Фамилия (Строка) , Компания (Строка) , Адрес (Строка) , Город (Строка) , Штат (Строка) , Страна (Строка) , ПочтовыйИндекс (Строка) , Телефон (Строка) , Факс (Строка) , ЭлПочта (Строка) , ОтветственныйМенеджер (Справочник.Сотрудники) | Справочник.Сотрудники : Ссылка (Справочник.Сотрудники) , Фамилия (Строка) , Имя (Строка) , ДолжностьНаименование (Строка) , Руководитель (Справочник.Сотрудники) , ДатаРождения (Дата) , ДатаПриемаНаРаботу (Дата) , Адрес (Строка) , Город (Строка) , Штат (Строка) , Страна (Строка) , ПочтовыйИндекс (Строка) , Телефон (Строка) , Факс (Строка) , ЭлПочта (Строка) | Справочник.Жанры : Ссылка (Справочник.Жанры) , Наименование (Строка) | Документ.Счета : Ссылка (Документ.Счета) , Клиент (Справочник.Клиенты) , ДатаСчета (Дата) , АдресПлатежа (Строка) , ГородПлатежа (Строка) , ШтатПлатежа (Строка) , СтранаПлатежа (Строка) , ПочтовыйИндексПлатежа (Строка) , Сумма (Число) | РегистрСведений.ПозицииСчета : Ссылка (РегистрСведений.ПозицииСчета) , Счет (Документ.Счета) , Трек (Справочник.Треки) , ЦенаЗаЕдиницу (Число) , Количество (Число) | Справочник.ТипыНосителей : Ссылка (Справочник.ТипыНосителей) , Наименование (Строка) | Справочник.Плейлисты : Ссылка (Справочник.Плейлисты) , Наименование (Строка) | РегистрСведений.ТрекиПлейлиста : Плейлист (Справочник.Плейлисты) , Трек (Справочник.Треки) | Справочник.Треки : Ссылка (Справочник.Треки) , Наименование (Строка) , Альбом (Справочник.Альбомы) , ТипНосителя (Справочник.ТипыНосителей) , Жанр (Справочник.Жанры) , Композитор (Строка) , ДлительностьМС (Число) , РазмерБайт (Число) , ЦенаЗаЕдиницу (Число)
flight_4;Справочник.Маршруты : Ссылка (Справочник.Маршруты) , АэропортНазначения (Справочник.Аэропорты) , НазваниеАэропортаНазначения (Строка) , АэропортОтправления (Справочник.Аэропорты) , НазваниеАэропортаОтправления (Строка) , Авиакомпания (Справочник.Авиакомпании) , НазваниеАвиакомпании (Строка) , СовместныйРейс (Строка) | Справочник.Аэропорты : Ссылка (Справочник.Аэропорты) , Наименование (Строка) , Город (Строка) , Страна (Строка) , КоординатаX (Число) , КоординатаY (Число) , ВысотаНадУМ (Число) , КодIATA (Строка) , КодICAO (Строка) | Справочник.Авиакомпании : Ссылка (Справочник.Авиакомпании) , Наименование (Строка) , КодIATA (Строка) , КодICAO (Строка) , Позывной (Строка) , Страна (Строка) , Активна (Строка)
pets_1;Справочник.Студенты : Ссылка (Справочник.Студенты) , Фамилия (Строка) , Имя (Строка) , Возраст (Число) , Пол (Строка) , Специальность (Число) , Наставник (Число) , КодГорода (Строка) | Справочник.Питомцы : Ссылка (Справочник.Питомцы) , ТипПитомца (Строка) , ВозрастПитомца (Число) , Вес (Число) | РегистрСведений.ПитомцыСтудентов : Студент (Справочник.Студенты) , Питомец (Справочник.Питомцы)
dorm_1;Справочник.Студенты : Ссылка (Справочник.Студенты) , Фамилия (Строка) , Имя (Строка) , Возраст (Число) , Пол (Строка) , Специальность (Число) , Наставник (Число) , КодГорода (Строка) | Справочник.Общежития : Ссылка (Справочник.Общежития) , Наименование (Строка) , Вместимость (Число) , Пол (Строка) | Справочник.УдобстваОбщежитий : Ссылка (Справочник.УдобстваОбщежитий) , Наименование (Строка) | РегистрСведений.УдобстваВОбщежитиях : Общежитие (Справочник.Общежития) , Удобство (Справочник.УдобстваОбщежитий) | РегистрСведений.ПроживаниеВСтуДоме : Студент (Справочник.Студенты) , Общежитие (Справочник.Общежития) , НомерКомнаты (Число)
journal_committee;Справочник.Журналы : Ссылка (Справочник.Журналы) , ДатаВыпуска (Дата) , Тема (Строка) , Продажи (Число) | Справочник.Редакторы : Ссылка (Справочник.Редакторы) , Наименование (Строка) , Возраст (Число) | РегистрСведений.РедакционнаяКоллегия : Редактор (Справочник.Редакторы) , Журнал (Справочник.Журналы) , ТипРаботы (Строка)
flight_1;Справочник.Самолеты : Ссылка (Справочник.Самолеты) , Наименование (Строка) , ДальностьПолета (Число) | Справочник.Сотрудники : Ссылка (Справочник.Сотрудники) , Наименование (Строка) , Оклад (Число) | Документ.Рейсы : Ссылка (Документ.Рейсы) , НомерРейса (Число) , АэропортОтправления (Строка) , АэропортНазначения (Строка) , Расстояние (Число) , ДатаОтправления (Дата) , ДатаПрибытия (Дата) , Стоимость (Число) , Самолет (Справочник.Самолеты) | РегистрСведений.Сертификаты : Сотрудник (Справочник.Сотрудники) , Самолет (Справочник.Самолеты)
medicine_enzyme_interaction;Справочник.Лекарства : Ссылка (Справочник.Лекарства) , Наименование (Строка) , ТорговоеНаименование (Строка) , ОдобреноFDA (Строка) | Справочник.Ферменты : Ссылка (Справочник.Ферменты) , Наименование (Строка) , Локализация (Строка) , Продукт (Строка) , Хромосома (Строка) , OMIM (Число) , Порфирия (Строка) | РегистрСведений.ВзаимодействияЛекарствиФерментов : Фермент (Справочник.Ферменты) , Лекарство (Справочник.Лекарства) , ТипВзаимодействия (Строка)
local_govt_and_lot;Справочник.Клиенты : Ссылка (Справочник.Клиенты) , ОписаниеКлиента (Строка) | Справочник.Имущество : Ссылка (Справочник.Имущество) , КодТипаИмущества (Строка) , АдресИмущества (Строка) , ПрочиеДетали (Строка) | Справочник.Жильцы : Ссылка (Справочник.Жильцы) , Имущество (Справочник.Имущество) , ДатаЗаселения (Дата) , ДатаВыселения (Дата) , ПрочиеДетали (Строка) | Справочник.Организации : Ссылка (Справочник.Организации) , РодительскаяОрганизация (Справочник.Организации) , ОписаниеОрганизации (Строка) | Справочник.Сервисы : Ссылка (Справочник.Сервисы) , Организация (Справочник.Организации) , КодТипаСервиса (Строка) , ОписаниеСервиса (Строка) | РегистрСведений.СервисыЖильцов : Жилец (Справочник.Жильцы) , Сервис (Справочник.Сервисы) , ДатаЗаселения (Дата) , Имущество (Справочник.Имущество) , ДатаЗапроса (Дата) , ДатаПредоставления (Дата) , ПрочиеДетали (Строка) | Справочник.Вещи : Ссылка (Справочник.Вещи) , Организация (Справочник.Организации) , КодТипаВещи (Строка) , КодТипаСервиса (Строка) , ОписаниеСервиса (Строка) | Документ.СобытияКлиентов : Ссылка (Документ.СобытияКлиентов) , Клиент (Справочник.Клиенты) , ДатаЗаселения (Дата) , Имущество (Справочник.Имущество) , Жилец (Справочник.Жильцы) , Вещь (Справочник.Вещи) | РегистрСведений.ЗаметкиПоСобытиямКлиентов : Ссылка (РегистрСведений.ЗаметкиПоСобытиямКлиентов) , СобытиеКлиента (Документ.СобытияКлиентов) , КодТипаСервиса (Строка) , Жилец (Справочник.Жильцы) , Имущество (Справочник.Имущество) , ДатаЗаселения (Дата) | РегистрСведений.СтатусыВещей : Вещь (Справочник.Вещи) , Дата (Дата) , КодСтатусаВещи (Строка) | РегистрСведений.ЛокацииВещей : Вещь (Справочник.Вещи) , ДатаВремя (Дата) , КодЛокации (Строка)
station_weather;Справочник.Поезда : Ссылка (Справочник.Поезда) , НомерПоезда (Число) , Наименование (Строка) , СтанцияОтправления (Строка) , СтанцияНазначения (Строка) , ВремяОтправления (Строка) , ИнтервалДвижения (Строка) | Справочник.Станции : Ссылка (Справочник.Станции) , НаименованиеСети (Строка) , Сервисы (Строка) , МестноеУправление (Строка) | РегистрСведений.Маршруты : Поезд (Справочник.Поезда) , Станция (Справочник.Станции) | РегистрСведений.ПогодаПоДням : Станция (Справочник.Станции) , ДеньНедели (Строка) , ТемператураМакс (Число) , ТемператураМин (Число) , Осадки (Число) , СкоростьВетраМильЧас (Число)
shop_membership;Справочник.Члены : Ссылка (Справочник.Члены) , НомерКарты (Строка) , Наименование (Строка) , ГородПроживания (Строка) , Уровень (Число) | Справочник.Филиалы : Ссылка (Справочник.Филиалы) , Наименование (Строка) , ГодОткрытия (Строка) , АдресУлица (Строка) , Город (Строка) , РазмерЧленскогоВзноса (Строка) | РегистрСведений.РегистрацияВФилиалах : Член (Справочник.Члены) , Филиал (Справочник.Филиалы) , ГодРегистрации (Строка) | РегистрСведений.ПокупкиЧленов : Член (Справочник.Члены) , Филиал (Справочник.Филиалы) , Год (Число) , СуммаПокупокФунты (Число)
driving_school;Справочник.Адреса : Ссылка (Справочник.Адреса) , УлицаИДом (Строка) , Город (Строка) , ПочтовыйИндекс (Строка) , Регион (Строка) , Страна (Строка) | Справочник.Сотрудники : Ссылка (Справочник.Сотрудники) , АдресСправочник (Справочник.Адреса) , Псевдоним (Строка) , Имя (Строка) , Отчество (Строка) , Фамилия (Строка) , ДатаРождения (Дата) , ДатаПриемаНаРаботу (Дата) , ДатаУвольнения (Дата) | Справочник.ТранспортныеСредства : Ссылка (Справочник.ТранспортныеСредства) , Описание (Строка) | Справочник.Клиенты : Ссылка (Справочник.Клиенты) , АдресСправочник (Справочник.Адреса) , Статус (Строка) , ДатаСтатусаКлиента (Дата) , ДатаРождения (Дата) , Имя (Строка) , Фамилия (Строка) , СуммаЗадолженности (Число) , ЭлектроннаяПочта (Строка) , Телефон (Строка) , МобильныйТелефон (Строка) | РегистрСведений.ПлатежиКлиентов : Клиент (Справочник.Клиенты) , ДатаПлатежа (Дата) , СпособОплаты (Строка) , СуммаПлатежа (Число) | РегистрСведений.Занятия : Клиент (Справочник.Клиенты) , Статус (Строка) , Сотрудник (Справочник.Сотрудники) , ТранспортноеСредство (Справочник.ТранспортныеСредства) , ДатаЗанятия (Дата) , ВремяЗанятия (Строка) , Цена (Число)
concert_singer;Справочник.Стадионы : Ссылка (Справочник.Стадионы) , Местоположение (Строка) , Наименование (Строка) , Вместимость (Число) , МаксимальнаяПосещаемость (Число) , МинимальнаяПосещаемость (Число) , СредняяПосещаемость (Число) | Справочник.Певцы : Ссылка (Справочник.Певцы) , Наименование (Строка) , Страна (Строка) , НазваниеПесни (Строка) , ГодВыпускаПесни (Строка) , Возраст (Число) , Мужчина (Булево) | Справочник.Концерты : Ссылка (Справочник.Концерты) , Наименование (Строка) , Тема (Строка) , Стадион (Справочник.Стадионы) , Год (Число) | РегистрСведений.УчастникиКонцертов : Концерт (Справочник.Концерты) , Певец (Справочник.Певцы)
music_2;Справочник.Песни : Ссылка (Справочник.Песни) , Наименование (Строка) | Справочник.Альбомы : Ссылка (Справочник.Альбомы) , Наименование (Строка) , Год (Число) , Лейбл (Строка) , Тип (Строка) | Справочник.УчастникиГруппы : Ссылка (Справочник.УчастникиГруппы) , Имя (Строка) , Фамилия (Строка) | РегистрСведений.ИспользуемыеИнструменты : Песня (Справочник.Песни) , Участник (Справочник.УчастникиГруппы) , Инструмент (Строка) | РегистрСведений.Выступления : Песня (Справочник.Песни) , Участник (Справочник.УчастникиГруппы) , ПозицияНаСцене (Строка) | РегистрСведений.Треклисты : Альбом (Справочник.Альбомы) , Позиция (Число) , Песня (Справочник.Песни) | РегистрСведений.ВокальныеПартии : Песня (Справочник.Песни) , Участник (Справочник.УчастникиГруппы) , ТипВокала (Строка)
sports_competition;Справочник.Клубы : Ссылка (Справочник.Клубы) , Наименование (Строка) , Регион (Строка) , ГодОснования (Число) | РегистрСведений.РейтингКлубов : Место (Число) , Клуб (Справочник.Клубы) , Золото (Число) , Серебро (Число) , Бронза (Число) , Всего (Число) | Справочник.Игроки : Ссылка (Справочник.Игроки) , Наименование (Строка) , Позиция (Строка) , Клуб (Справочник.Клубы) , Матчи (Число) , Попытки (Число) , Голы (Строка) , Очки (Число) | Справочник.Соревнования : Ссылка (Справочник.Соревнования) , Год (Число) , ТипСоревнования (Строка) , Страна (Строка) | РегистрСведений.РезультатыСоревнований : Соревнование (Справочник.Соревнования) , Клуб1 (Справочник.Клубы) , Клуб2 (Справочник.Клубы) , Счет (Строка)
railway;Справочник.ЖелезныеДороги : Ссылка (Справочник.ЖелезныеДороги) , Наименование (Строка) , Строитель (Строка) , ГодПостройки (Строка) , ТипКолес (Строка) , Местоположение (Строка) , ИнвентарныйНомер (Строка) | Справочник.Поезда : Ссылка (Справочник.Поезда) , НомерПоезда (Число) , Наименование (Строка) , СтанцияОтправления (Строка) , СтанцияПрибытия (Строка) , ЖелезнаяДорога (Справочник.ЖелезныеДороги) | Справочник.Менеджеры : Ссылка (Справочник.Менеджеры) , Наименование (Строка) , Страна (Строка) , ГодНачалаРаботы (Строка) , Возраст (Число) , Уровень (Число) | РегистрСведений.УправлениеЖелезнымиДорогами : ЖелезнаяДорога (Справочник.ЖелезныеДороги) , Менеджер (Справочник.Менеджеры) , ГодНачала (Строка)
inn_1;Справочник.Номера : Ссылка (Справочник.Номера) , Наименование (Строка) , КоличествоКроватей (Число) , ТипКровати (Строка) , МаксимальнаяВместимость (Число) , БазоваяЦена (Число) , Декор (Строка) | РегистрСведений.Бронирование : Код (Число) , Номер (Справочник.Номера) , ДатаЗаезда (Строка) , ДатаВыезда (Строка) , Тариф (Число) , Фамилия (Строка) , Имя (Строка) , Взрослых (Число) , Детей (Число)
museum_visit;Справочник.Музеи : Ссылка (Справочник.Музеи) , Наименование (Строка) , КоличествоСотрудников (Число) , ГодОткрытия (Строка) | Справочник.Посетители : Ссылка (Справочник.Посетители) , Наименование (Строка) , УровеньЧленства (Число) , Возраст (Число) | РегистрСведений.Посещения : Музей (Справочник.Музеи) , Посетитель (Справочник.Посетители) , КоличествоБилетов (Число) , СуммаЗатрат (Число)
browser_web;Справочник.ВебКлиентУскорители : Ссылка (Справочник.ВебКлиентУскорители) , Наименование (Строка) , ОперационнаяСистема (Строка) , Клиент (Строка) , ТипСоединения (Строка) | Справочник.Браузеры : Ссылка (Справочник.Браузеры) , Наименование (Строка) , ДоляРынка (Число) | РегистрСведений.СовместимостьУскорителей : Ускоритель (Справочник.ВебКлиентУскорители) , Браузер (Справочник.Браузеры) , ГодСовместимости (Число)
architecture;Справочник.Архитекторы : Ссылка (Справочник.Архитекторы) , Наименование (Строка) , Национальность (Строка) , Пол (Строка) | Справочник.Мосты : Ссылка (Справочник.Мосты) , Архитектор (Справочник.Архитекторы) , Наименование (Строка) , Местоположение (Строка) , ДлинаМетры (Число) , ДлинаФуты (Число) | Справочник.Мельницы : Ссылка (Справочник.Мельницы) , Архитектор (Справочник.Архитекторы) , Местоположение (Строка) , Наименование (Строка) , Тип (Строка) , ГодПостройки (Число) , Примечания (Строка)
csu_1;Справочник.Кампусы : Ссылка (Справочник.Кампусы) , Наименование (Строка) , Местоположение (Строка) , Округ (Строка) , ГодОткрытия (Число) | РегистрСведений.ПлатежиКампусов : Кампус (Справочник.Кампусы) , Год (Число) , ПлатаКампуса (Число) | РегистрСведений.ВыдачаСтепеней : Год (Число) , Кампус (Справочник.Кампусы) , КоличествоСтепеней (Число) | РегистрСведений.ЗаписанныеПоДисциплинам : Кампус (Справочник.Кампусы) , Дисциплина (Число) , Год (Число) , Бакалавриат (Число) , Магистратура (Число) | РегистрСведений.ЗаписанныеСтуденты : Кампус (Справочник.Кампусы) , Год (Число) , ОбщаяЗаписанность (Число) , ЭквивалентОчнойФормы (Число) | РегистрСведений.Преподаватели : Кампус (Справочник.Кампусы) , Год (Число) , КоличествоПреподавателей (Число)
tracking_orders;Справочник.Клиенты : Ссылка (Справочник.Клиенты) , Наименование (Строка) , Описание (Строка) | Документ.Счет : Ссылка (Документ.Счет) , Дата (Дата) , Описание (Строка) | Документ.Заказ : Ссылка (Документ.Заказ) , Клиент (Справочник.Клиенты) , СтатусЗаказа (Строка) , ДатаРазмещения (Дата) , Описание (Строка) | Справочник.Товары : Ссылка (Справочник.Товары) , Наименование (Строка) , Описание (Строка) | Справочник.ТоварыВЗаказах : Ссылка (Справочник.ТоварыВЗаказах) , Товар (Справочник.Товары) , Заказ (Документ.Заказ) , СтатусТовара (Строка) , Описание (Строка) | Документ.Отгрузка : Ссылка (Документ.Отгрузка) , Заказ (Документ.Заказ) , Счет (Документ.Счет) , ТрекНомер (Строка) , ДатаОтгрузки (Дата) , Описание (Строка) | РегистрСведений.ТоварыВОтгрузках : Отгрузка (Документ.Отгрузка) , ПозицияЗаказа (Справочник.ТоварыВЗаказах)
insurance_policies;Справочник.Клиенты : Ссылка (Справочник.Клиенты) , Описание (Строка) | Документ.ПолисКлиента : Ссылка (Документ.ПолисКлиента) , Клиент (Справочник.Клиенты) , КодТипаПолиса (Строка) , ДатаНачала (Дата) , ДатаОкончания (Дата) | Документ.СтраховаяПретензия : Ссылка (Документ.СтраховаяПретензия) , Полис (Документ.ПолисКлиента) , ДатаПодачи (Дата) , ДатаУрегулирования (Дата) , СуммаЗаявленная (Число) , СуммаВыплаты (Число) | Документ.УрегулированиеПретензии : Ссылка (Документ.УрегулированиеПретензии) , Претензия (Документ.СтраховаяПретензия) , ДатаПодачи (Дата) , ДатаУрегулирования (Дата) , СуммаЗаявленная (Число) , СуммаВыплаты (Число) , ПолисКлиента (Документ.ПолисКлиента) | РегистрСведений.ПлатежиПоУрегулированию : Платеж (Число) , Урегулирование (Документ.УрегулированиеПретензии) , СпособОплаты (Строка) , ДатаПлатежа (Дата) , СуммаПлатежа (Число)
gas_company;Справочник.Компании : Ссылка (Справочник.Компании) , Ранг (Число) , Наименование (Строка) , ШтабКвартира (Строка) , ОсновнаяОтрасль (Строка) , ПродажиВМлрд (Число) , ПрибыльВМлрд (Число) , АктивыВМлрд (Число) , РыночнаяСтоимость (Число) | Справочник.ЗаправочныеСтанции : Ссылка (Справочник.ЗаправочныеСтанции) , ГодОткрытия (Число) , Местоположение (Строка) , ИмяМенеджера (Строка) , ИмяЗамМенеджера (Строка) , ИмяПредставителя (Строка) | РегистрСведений.ПринадлежностьСтанцийКомпании : Станция (Справочник.ЗаправочныеСтанции) , Компания (Справочник.Компании) , РангВТекущемГоду (Число)
e_government;Справочник.Адреса : Ссылка (Справочник.Адреса) , УлицаИДом (Строка) , Город (Строка) , ПочтовыйИндекс (Строка) , Регион (Строка) , Страна (Строка) | Справочник.Сервисы : Ссылка (Справочник.Сервисы) , КодТипаСервиса (Строка) , Наименование (Строка) , Описание (Строка) | Справочник.Бланки : Ссылка (Справочник.Бланки) , КодТипаБланка (Строка) , Сервис (Справочник.Сервисы) , НомерБланка (Строка) , Наименование (Строка) , Описание (Строка) | Справочник.ФизическиеЛица : Ссылка (Справочник.ФизическиеЛица) , Имя (Строка) , Отчество (Строка) , Телефон (Строка) , ЭлектроннаяПочта (Строка) , Адрес (Строка) , Фамилия (Строка) | Справочник.Организации : Ссылка (Справочник.Организации) , ДатаОснования (Дата) , Наименование (Строка) , НДСНомерВеликобритании (Строка) | Справочник.Стороны : Ссылка (Справочник.Стороны) , КодСпособаОплаты (Строка) , Телефон (Строка) , ЭлектроннаяПочта (Строка) | РегистрСведений.КонтактыОрганизаций : ФизЛицо (Справочник.ФизическиеЛица) , Организация (Справочник.Организации) , ДатаНачалаКонтакта (Дата) , ДатаОкончанияКонтакта (Дата) | РегистрСведений.АдресаСторон : Сторона (Справочник.Стороны) , Адрес (Справочник.Адреса) , ДатаНачалаДействия (Дата) , КодТипаАдреса (Строка) , ДатаОкончанияДействия (Дата) | РегистрСведений.БланкиСторон : Сторона (Справочник.Стороны) , Бланк (Справочник.Бланки) , ДатаНачалаЗаполнения (Дата) , КодСтатусаБланка (Строка) , ДатаОкончанияЗаполнения (Дата) | РегистрСведений.СервисыСторон : Бронирование (Число) , Клиент (Справочник.Стороны) , Сервис (Справочник.Сервисы) , ДатаИВремяСервиса (Дата) , ДатаБронирования (Дата)
school_bus;Справочник.Водители : Ссылка (Справочник.Водители) , Наименование (Строка) , Партия (Строка) , ГородПроживания (Строка) , Возраст (Число) | Справочник.Школы : Ссылка (Справочник.Школы) , Класс (Строка) , Наименование (Строка) , Местоположение (Строка) , Тип (Строка) | РегистрСведений.АвтобусыШкол : Школа (Справочник.Школы) , Водитель (Справочник.Водители) , СтажРаботыЛет (Число) , ПолнаяЗанятость (Булево)
machine_repair;Справочник.Ремонты : Ссылка (Справочник.Ремонты) , Наименование (Строка) , ДатаЗапуска (Строка) , Примечания (Строка) | Справочник.Машины : Ссылка (Справочник.Машины) , ГодВыпуска (Число) , Класс (Строка) , Команда (Строка) , СерияМашины (Строка) , БаллыЦенности (Число) , РейтингКачества (Число) | Справочник.Техники : Ссылка (Справочник.Техники) , Наименование (Строка) , Команда (Строка) , ГодНачалаРаботы (Число) , Возраст (Число) | РегистрСведений.НазначенияНаРемонт : Техник (Справочник.Техники) , Ремонт (Справочник.Ремонты) , Машина (Справочник.Машины)
theme_gallery;Справочник.Художники : Ссылка (Справочник.Художники) , Наименование (Строка) , Страна (Строка) , ГодПрисоединения (Число) , Возраст (Число) | Справочник.Выставки : Ссылка (Справочник.Выставки) , Год (Число) , Тема (Строка) , Художник (Справочник.Художники) , ЦенаБилета (Число) | РегистрСведений.ПосещенияВыставок : Выставка (Справочник.Выставки) , Дата (Строка) , Посещаемость (Число)
film_rank;Справочник.Фильмы : Ссылка (Справочник.Фильмы) , Наименование (Строка) , Студия (Строка) , Режиссер (Строка) , СборыВДолларах (Число) | Справочник.Рынки : Ссылка (Справочник.Рынки) , Страна (Строка) , КоличествоГородов (Число) | РегистрСведений.ОценкиФильмовНаРынках : Ссылка (РегистрСведений.ОценкиФильмовНаРынках) , НижняяОценка (Число) , ВерхняяОценка (Число) , Фильм (Справочник.Фильмы) , Тип (Строка) , Рынок (Справочник.Рынки) , Год (Число)
party_people;Справочник.Регионы : Ссылка (Справочник.Регионы) , Наименование (Строка) , Дата (Строка) , Метка (Строка) , Формат (Строка) , Каталог (Строка) | Справочник.Партии : Ссылка (Справочник.Партии) , Министр (Строка) , ДатаНачалаПолномочий (Строка) , ДатаОкончанияПолномочий (Строка) , Регион (Справочник.Регионы) , Наименование (Строка) | Справочник.Депутаты : Ссылка (Справочник.Депутаты) , Наименование (Строка) , Партия (Справочник.Партии) , ПолномочияАктивны (Строка) | РегистрСведений.СобытияПартий : Ссылка (РегистрСведений.СобытияПартий) , Наименование (Строка) , Партия (Справочник.Партии) , ОтветственныйДепутат (Справочник.Депутаты)
hospital_1;Справочник.Врачи : Ссылка (Справочник.Врачи) , Наименование (Строка) , Должность (Строка) , СНИЛС (Число) | Справочник.Отделения : Ссылка (Справочник.Отделения) , Наименование (Строка) , Руководитель (Справочник.Врачи) | РегистрСведений.АффилиацияВрачей : Врач (Справочник.Врачи) , Отделение (Справочник.Отделения) , ОсновнаяАффилиация (Булево) | Справочник.Процедуры : Ссылка (Справочник.Процедуры) , Наименование (Строка) , Стоимость (Число) | РегистрСведений.СертификатыВрачей : Врач (Справочник.Врачи) , Процедура (Справочник.Процедуры) , ДатаСертификации (Дата) , ДатаОкончанияСертификации (Дата) | Справочник.Пациенты : Ссылка (Справочник.Пациенты) , Наименование (Строка) , Адрес (Строка) , Телефон (Строка) , НомерСтраховки (Число) , ЛечащийВрач (Справочник.Врачи) | Справочник.Медсестры : Ссылка (Справочник.Медсестры) , Наименование (Строка) , Должность (Строка) , Зарегистрирована (Булево) , СНИЛС (Число) | Документ.Прием : Ссылка (Документ.Прием) , Пациент (Справочник.Пациенты) , ПодготовившаяМедсестра (Справочник.Медсестры) , Врач (Справочник.Врачи) , НачалоПриема (Дата) , КонецПриема (Дата) , Кабинет (Строка) | Справочник.Лекарства : Ссылка (Справочник.Лекарства) , Наименование (Строка) , Бренд (Строка) , Описание (Строка) | РегистрСведений.НазначенияЛекарств : Врач (Справочник.Врачи) , Пациент (Справочник.Пациенты) , Лекарство (Справочник.Лекарства) , ДатаНазначения (Дата) , Прием (Документ.Прием) , Дозировка (Строка) | Справочник.Блоки : Этаж (Число) , КодБлока (Число) | Справочник.Палаты : НомерПалаты (Число) , ТипПалаты (Строка) , Этаж (Число) , КодБлока (Число) , Недоступна (Булево) | РегистрСведений.Дежурства : Медсестра (Справочник.Медсестры) , Этаж (Число) , КодБлока (Число) , НачалоДежурства (Дата) , КонецДежурства (Дата) | Документ.Госпитализация : Ссылка (Документ.Госпитализация) , Пациент (Справочник.Пациенты) , Палата (Справочник.Палаты) , ДатаПоступления (Дата) , ДатаВыписки (Дата) | РегистрСведений.ПроцедурыПациентов : Пациент (Справочник.Пациенты) , Процедура (Справочник.Процедуры) , Госпитализация (Документ.Госпитализация) , ДатаПроцедуры (Дата) , Врач (Справочник.Врачи) , Ассистент (Справочник.Медсестры)
customers_campaigns_ecommerce;Справочник.Помещения : Ссылка (Справочник.Помещения) , ТипПомещения (Строка) , Описание (Строка) | Справочник.Товары : Ссылка (Справочник.Товары) , Категория (Строка) , Наименование (Строка) | Справочник.Клиенты : Ссылка (Справочник.Клиенты) , СпособОплаты (Строка) , Наименование (Строка) , Телефон (Строка) , ЭлектроннаяПочта (Строка) , Адрес (Строка) , Логин (Строка) , Пароль (Строка) | Документ.Рассылка : Ссылка (Документ.Рассылка) , КатегорияТовара (Строка) , Наименование (Строка) , ДатаНачала (Дата) , ДатаОкончания (Дата) | РегистрСведений.АдресаКлиентов : Клиент (Справочник.Клиенты) , Помещение (Справочник.Помещения) , ДатаНачала (Дата) , КодТипаАдреса (Строка) , ДатаОкончания (Дата) | Документ.ЗаказКлиента : Ссылка (Документ.ЗаказКлиента) , Клиент (Справочник.Клиенты) , КодСтатусаЗаказа (Строка) , КодСпособаДоставки (Строка) , ДатаРазмещенияЗаказа (Дата) , ДатаДоставкиЗаказа (Дата) , СтоимостьДоставки (Строка) | РегистрСведений.УчастникиРассылок : Рассылка (Документ.Рассылка) , Клиент (Справочник.Клиенты) , КодРезультата (Строка) , ДатаУчастия (Дата) | РегистрСведений.ТоварыВЗаказах : Позиция (Число) , КодСтатусаПозиции (Строка) , Заказ (Документ.ЗаказКлиента) , Товар (Справочник.Товары) , СтатусПозиции (Строка) , ДатаДоставкиПозиции (Дата) , Количество (Строка)
gymnast;Справочник.Гимнасты : Ссылка (Справочник.Гимнасты) , БаллыЗаВольныеУпражнения (Число) , БаллыЗаКоня (Число) , БаллыЗаКольца (Число) , БаллыЗаОпорныйПрыжок (Число) , БаллыЗаПараллельныеБрусья (Число) , БаллыЗаПерекладину (Число) , ОбщаяСуммаБаллов (Число) | Справочник.Люди : Ссылка (Справочник.Люди) , Наименование (Строка) , Возраст (Число) , Рост (Число) , ГородРодной (Строка)
restaurants;Справочник.География : НаименованиеГорода (Строка) , Округ (Строка) , Регион (Строка) | Справочник.Рестораны : Ссылка (Справочник.Рестораны) , Наименование (Строка) , ТипКухни (Строка) , Город (Строка) , Рейтинг (Число) | РегистрСведений.АдресаРесторанов : Ресторан (Справочник.Рестораны) , НомерДома (Число) , НазваниеУлицы (Строка) , Город (Строка)
mountain_photos;Справочник.Горы : Ссылка (Справочник.Горы) , Наименование (Строка) , Высота (Число) , Видимость (Число) , Хребет (Строка) , Страна (Строка) | Справочник.ОбъективыКамер : Ссылка (Справочник.ОбъективыКамер) , Бренд (Строка) , Наименование (Строка) , ФокусноеРасстояниеМм (Число) , МаксимальнаяДиафрагма (Число) | РегистрСведений.Фотографии : Ссылка (РегистрСведений.Фотографии) , ОбъективКамеры (Справочник.ОбъективыКамер) , Гора (Справочник.Горы) , ЦветСтрокой (Строка) , Наименование (Строка)
